id,name,category,alcoholic,glassType,instructions,isAlcoholic
20,Afternoon,Coffee / Tea,Alcoholic,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",True
21,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,True
22,Autodafé,Ordinary Drink,Alcoholic,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,True
23,Allegheny,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,True
24,Americano,Ordinary Drink,Alcoholic,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",True
25,B-52,Shot,Alcoholic,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,True
26,B-53,Shot,Alcoholic,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",True
27,Bijou,Cocktail,Alcoholic,Cocktail glass,"Stir in mixing glass with ice and strain
",True
28,Boxcar,Ordinary Drink,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",True
29,Big Red,Shot,Alcoholic,Shot glass,Pour ingredients into 1 ounce shot glass,True
30,Bellini,Ordinary Drink,Alcoholic,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",True
31,Bramble,Ordinary Drink,Alcoholic,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",True
32,Balmoral,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",True
33,Bluebird,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",True
34,Brooklyn,Cocktail,Alcoholic,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,True
35,Bora Bora,Cocktail,Non alcoholic,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",False
36,Boomerang,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",True
37,Barracuda,Ordinary Drink,Alcoholic,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",True
38,Brigadier,Cocktail,Alcoholic,Coupe Glass,Mix ingredients in a warmed mug and stir.,True
39,Broadside,Cocktail,Alcoholic,Highball glass,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",True
40,Buccaneer,Beer,Alcoholic,Beer pilsner,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,True
41,Brain Fart,Punch / Party Drink,Alcoholic,Punch bowl,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,True
42,Blackthorn,Ordinary Drink,Alcoholic,Cocktail glass,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,True
43,Bob Marley,Shot,Alcoholic,Shot glass,Layer in a 2 oz shot glass or pony glass,True
44,Bible Belt,Other / Unknown,Alcoholic,Highball glass,"Mix all ingredients, and pour over ice.",True
45,Bubble Gum,Shot,Alcoholic,Shot glass,Layer in order into a shot glass.,True
46,Bumble Bee,Shot,Alcoholic,Shot glass,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",True
47,Baby Eskimo,Shake,Alcoholic,Collins Glass,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",True
48,Boston Sour,Ordinary Drink,Alcoholic,Whiskey sour glass,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",True
49,Bahama Mama,Cocktail,Alcoholic,Highball glass,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",True
50,Casino,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,True
51,Cafe Savoy,Coffee / Tea,Alcoholic,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",True
52,Caipirinha,Ordinary Drink,Alcoholic,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,True
53,Cream Soda,Cocktail,Alcoholic,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,True
54,Cuba Libra,Ordinary Drink,Alcoholic,Highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,True
55,Cherry Rum,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",True
56,Cuba Libre,Ordinary Drink,Alcoholic,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,True
57,Corn n Oil,Cocktail,Alcoholic,Old-fashioned glass,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",True
58,Citrus Coke,Soft Drink,Alcoholic,Highball Glass,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,True
59,Casa Blanca,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",True
60,Clover Club,Ordinary Drink,Alcoholic,Cocktail glass,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",True
61,Caipirissima,Ordinary Drink,Alcoholic,Collins Glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,True
62,City Slicker,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",True
63,Campari Beer,Beer,Alcoholic,Beer mug,Use a 15 oz glass. Add Campari first. Fill with beer.,True
64,Chicago Fizz,Ordinary Drink,Alcoholic,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",True
65,Cosmopolitan,Cocktail,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,True
66,Coffee-Vodka,Homemade Liqueur,Alcoholic,Collins Glass,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",True
67,Casino Royale,Ordinary Drink,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",True
68,Corpse Reviver,Cocktail,Alcoholic,Cocktail glass,"Shake, strain, straight up, cocktail glass rinsed with absinthe
",True
69,Chocolate Milk,Shot,Alcoholic,Shot Glass,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",True
70,Clove Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",True
71,Coffee Liqueur,Homemade Liqueur,Alcoholic,Collins Glass,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",True
72,Coke and Drops,Soft Drink,Non alcoholic,Cocktail glass,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",False
73,Chocolate Drink,Cocoa,Non alcoholic,Coffee mug,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",False
74,Cranberry Punch,Punch / Party Drink,Non alcoholic,Punch Bowl,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.",False
75,Derby,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,True
76,Diesel,Beer,Alcoholic,Pint glass,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,True
77,Daiquiri,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,True
78,Danbooka,Coffee / Tea,Alcoholic,Coffee Mug,pour it in and mix it.,True
79,Downshift,Punch / Party Drink,Alcoholic,Hurricane glass,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.",True
80,Dragonfly,Ordinary Drink,Alcoholic,Highball glass,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",True
81,Dry Martini,Cocktail,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",True
82,Dry Rob Roy,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",True
83,Dirty Nipple,Shot,Alcoholic,Shot glass,This is a layered shot - the Bailey's must be on top,True
84,Dirty Martini,Cocktail,Alcoholic,Cocktail glass,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",True
85,Darkwood Sling,Soft Drink,Alcoholic,Cocktail glass,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.",True
86,Dark and Stormy,Ordinary Drink,Alcoholic,Highball glass,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,True
87,Dark Caipirinha,Cocktail,Alcoholic,Highball glass,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",True
88,Duchamp's Punch,Cocktail,Alcoholic,Old-fashioned glass,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",True
89,Damned if you do,Shot,Alcoholic,Shot glass,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,True
90,Dubonnet Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,True
91,Drinking Chocolate,Cocoa,Non alcoholic,Coffee mug,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",False
92,Death in the Afternoon,Cocktail,Alcoholic,Margarita glass,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.",True
93,Egg Cream,Other / Unknown,Non alcoholic,Coffee mug,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",False
94,Egg Nog #4,Punch / Party Drink,Optional alcohol,Punch bowl,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",False
95,English Highball,Ordinary Drink,Alcoholic,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",True
96,Espresso Martini,Cocktail,Alcoholic,Cocktail glass,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",True
97,Espresso Rumtini,Cocktail,Alcoholic,Cocktail glass,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,True
98,Egg Nog - Healthy,Punch / Party Drink,Optional alcohol,Collins Glass,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",False
99,English Rose Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,True
100,Elderflower Caipirinha,Cocktail,Alcoholic,Collins glass,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,True
101,Egg-Nog - Classic Cooked,Punch / Party Drink,Optional alcohol,Pitcher,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",False
102,Empellón Cocina's Fat-Washed Mezcal,Cocktail,Alcoholic,Beer Glass,"To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture.",True
103,Frosé,Cocktail,Alcoholic,Cocktail glass,"Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.",True
104,Frappé,Coffee / Tea,Non alcoholic,Highball Glass,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",False
105,Foxy Lady,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",True
106,French 75,Ordinary Drink,Alcoholic,Collins glass,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",True
107,Figgy Thyme,Cocktail,Alcoholic,Highball glass,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.",True
108,Frisco Sour,Ordinary Drink,Alcoholic,Whiskey sour glass,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,True
109,Fruit Shake,Other / Unknown,Non alcoholic,Highball Glass,Blend til smooth.,False
110,Fruit Cooler,Other / Unknown,Non alcoholic,Highball Glass,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",False
111,Freddy Kruger,Shot,Alcoholic,Shot glass,make it an ample size shot!!,True
112,Funk and Soul,Cocktail,Alcoholic,Collins glass,Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,True
113,Fuzzy Asshole,Coffee / Tea,Alcoholic,Coffee mug,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,True
114,French Martini,Cocktail,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,True
115,French Negroni,Cocktail,Alcoholic,Martini Glass,"Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",True
116,Fahrenheit 5000,Shot,Alcoholic,Shot glass,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,True
117,Flying Dutchman,Ordinary Drink,Alcoholic,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",True
118,Frozen Daiquiri,Ordinary Drink,Alcoholic,Champagne flute,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",True
119,Fruit Flip-Flop,Other / Unknown,Non alcoholic,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",False
120,Flying Scotchman,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",True
121,French Connection,Ordinary Drink,Alcoholic,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,True
122,Flaming Dr. Pepper,Shot,Alcoholic,Collins Glass,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",True
123,Flaming Lamborghini,Cocktail,Alcoholic,Cocktail glass,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",True
124,Flander's Flake-Out,Ordinary Drink,Alcoholic,Collins Glass,Bang 'em both in.,True
125,Frozen Mint Daiquiri,Ordinary Drink,Alcoholic,Old-fashioned glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,True
126,Frozen Pineapple Daiquiri,Ordinary Drink,Alcoholic,Cocktail Glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,True
127,GG,Ordinary Drink,Optional alcohol,Collins Glass,Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.,False
128,Gimlet,Cocktail,Alcoholic,Martini Glass,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.",True
129,Godchild,Ordinary Drink,Alcoholic,Champagne flute,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",True
130,Gin Fizz,Ordinary Drink,Alcoholic,Highball glass,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",True
131,Gin Sour,Ordinary Drink,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",True
132,Gagliardo,Cocktail,Alcoholic,Cocktail glass,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",True
133,Godmother,Ordinary Drink,Alcoholic,Old-fashioned glass,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,True
134,Godfather,Ordinary Drink,Alcoholic,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,True
135,Gluehwein,Punch / Party Drink,Optional alcohol,Irish coffee cup,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",False
136,Gin Tonic,Cocktail,Alcoholic,Highball glass,"Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.",True
137,Gin Toddy,Ordinary Drink,Alcoholic,Old-fashioned glass,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",True
138,Gin Smash,Ordinary Drink,Alcoholic,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",True
139,Gin Daisy,Ordinary Drink,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",True
140,Gin Lemon,Cocktail,Alcoholic,Highball glass,"For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.",True
